actor,script,start_time,end_time,duration
설명,[형사1의 한숨],00:19:35,00:19:35,00:19:35
설명,[승혁의 한숨],00:19:41,00:19:41,00:19:41
설명,[분위기 있는 음악이 흘러나온다],00:19:43,00:19:43,00:19:43
한서,갑자기 무슨 일로 보자고 한 거예요?,00:19:48,00:19:48,00:19:48
한서,그동안,00:19:51,00:19:51,00:19:51
한서,회장님을 모시면서 느낀 소회랄까,00:19:53,00:19:53,00:19:53
승혁,꼭 말씀드리고 싶었습니다,00:19:58,00:19:58,00:19:58
승혁,회장님은 정말 일취월장하고 계십니다,00:20:00,00:20:00,00:20:00
설명,[픽 웃는다],00:20:05,00:20:05,00:20:05
승혁,"아휴, 그렇게 사람 띄워 주고 그러지 말아요",00:20:09,00:20:09,00:20:09
승혁,난 형님에 비하면 아직 한참 부족하니까,00:20:12,00:20:12,00:20:12
승혁,세상 사람들은 모두 회장님을 진짜 회장님으로 알고 있습니다,00:20:14,00:20:14,00:20:14
승혁,장준우 회장은,00:20:19,00:20:19,00:20:19
승혁,세상에 알려지지 않은 존재죠,00:20:21,00:20:21,00:20:21
설명,[의미심장한 음악],00:20:24,00:20:24,00:20:24
설명,[잔을 탁 내려놓는다],00:20:26,00:20:26,00:20:26
승혁,무슨 얘기가 하고 싶은 거예요?,00:20:29,00:20:29,00:20:29
승혁,회장님께서 바벨을 혼자 맡으셔도 될 것 같단 말씀입니다,00:20:33,00:20:33,00:20:33
승혁,지금 뭔 소리 하는 거예요?,00:20:39,00:20:39,00:20:39
승혁,나보고 형님을 배신이라도 하라는 거예요?,00:20:42,00:20:42,00:20:42
한서,"이 양반이, 이거 아주 큰일 날 양반이네, 이거?",00:20:46,00:20:46,00:20:46
한서,[버럭 하며] 어?,00:20:50,00:20:50,00:20:50
한서,"그리고 나는, 어?",00:20:51,00:20:51,00:20:51
한서,"나는 뭐, 회장이 될 재목이 안 된다고 나는 말이야, 어?",00:20:53,00:20:53,00:20:53
한서,"쯧, 어디, 지금",00:20:57,00:20:57,00:20:57
한서,제가요! [흥미로운 음악],00:20:59,00:20:59,00:20:59
한서,제가 우상의 대표입니다!,00:21:01,00:21:01,00:21:01
승혁,내로라하는 기업가 고객만 해도 수백 명이에요,00:21:02,00:21:02,00:21:02
승혁,"그런데 제가, 그런 제가!",00:21:05,00:21:05,00:21:05
승혁,"이, 오너 재목을 하나 못 알아보겠습니까?",00:21:07,00:21:07,00:21:07
한서,"아니, 그냥 살살 말하면 되지",00:21:12,00:21:12,00:21:12
한서,왜 이렇게 역정을 내고 그래요?,00:21:14,00:21:14,00:21:14
승혁,제가 답답해서 그러잖아요,00:21:15,00:21:15,00:21:15
설명,[승혁이 훌쩍인다],00:21:18,00:21:18,00:21:18
승혁,"지금 바벨은, 바벨은 명민하고",00:21:20,00:21:20,00:21:20
승혁,정말 패기…,00:21:24,00:21:24,00:21:24
승혁,패기 있는 그런 경영이 필요합니다,00:21:27,00:21:27,00:21:27
승혁,유혈 사태 없이!,00:21:30,00:21:30,00:21:30
승혁,"어머, 어머, 나, 저",00:21:31,00:21:31,00:21:31
